"","X","GC","title","url","lat","lon","country","province.state","county","numfinds","numpage"
"1221",1221,"GCXVYE","Panther's Cave Cache","https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache","41:36:02","-79:39:04","United States","Pennsylvania","Venango County (PA)","29","2"
"774",774,"GC18ZAN","Howe Cave Earthcache","https://www.geocaching.com/geocache/GC18ZAN_howe-cave-earthcache","42:53:22","-74:38:23","United States","New York","Schoharie County (NY)","399","16"
"954",954,"GC1YDDD","Marengo Cave","https://www.geocaching.com/geocache/GC1YDDD_marengo-cave","38:31:58","-86:26:21","United States","Indiana","Crawford County (IN)","35","2"
"397",397,"GC1JVG5","Cave Spring","https://www.geocaching.com/geocache/GC1JVG5_cave-spring","37:52:23","-86:03:39","United States","Kentucky","Hardin County (KY)","67","3"
"808",808,"GC14Z35","Indian Cave Hill","https://www.geocaching.com/geocache/GC14Z35_indian-cave-hill","37:05:42","-85:02:31","United States","Kentucky","Russell County (KY)","17","1"
"1682",1682,"GC1B04","Wolf Cave","https://www.geocaching.com/geocache/GC1B04_wolf-cave","39:24:38","-86:45:46","United States","Indiana","Owen County (IN)","145","6"
"428",428,"GC7Q9NF","CF7 - Mine Your Step","https://www.geocaching.com/geocache/GC7Q9NF_cf7-mine-your-step","41:27:41","-73:52:13","United States","New York","Putnam County (NY)","8","1"
"842",842," GC565MZ","Joplin Cave","https:/www.geocaching.com/geocache/GC565MZ_joplin-cave","37:07:52","-94:31:46","United States","Missouri","Newton County (MO)","55","2"
"1615",1615,"GC8D4F","Tytoona Cave Cache","https://www.geocaching.com/geocache/GC8D4F_tytoona-cave-cache","40:37:43","-78:14:35","United States","Pennsylvania","Blair County (PA)","4","1"
"1003",1003," GCHDZ7","Mine Au Breton (Moses Austin Tomb)","https:/www.geocaching.com/geocache/GCHDZ7_mine-au-breton-moses-austin-tomb","38:00:49","-90:52:54","United States","Missouri","Washington County (MO)","295","12"
"271",271,"GC1N7KG","Caching in the Cave: The Blue Hole # 2","https://www.geocaching.com/geocache/GC1N7KG_caching-in-the-cave-the-blue-hole-2","36:57:07","-86:28:05","United States","Kentucky","Warren County (KY)","483","20"
"720",720,"GC31BDB","Griffiths Mine","https://www.geocaching.com/geocache/GC31BDB_griffiths-mine","51:03:25","-93:30:51","Canada","Ontario","Kenora","15","1"
"544",544,"GC3JEQA","Daniel's Limehouse Cave Cache","https://www.geocaching.com/geocache/GC3JEQA_daniels-limehouse-cave-cache","43:38:51","-80:06:14","Canada","Ontario","Halton","224","9"
"1093",1093,"GC37PEF","Mohawk Mine and Mohawkite EarthCache","https://www.geocaching.com/geocache/GC37PEF_mohawk-mine-and-mohawkite-earthcache","47:20:13","-88:34:56","United States","Michigan","Keweenaw County (MI)","65","3"
"235",235,"GC6PJ9E","Bornish Road Cave","https://www.geocaching.com/geocache/GC6PJ9E_bornish-road-cave","45:59:55","-61:19:34","Canada","Nova Scotia","Inverness","12","1"
"180",180,"GC1B85H","Baugus Cave Earthcache","https://www.geocaching.com/geocache/GC1B85H_baugus-cave-earthcache","35:47:42","-88:06:48","United States","Tennessee","Decatur County (TN)","96","4"
"958",958,"GC1GMB4","Marmora Mine Lookout","https://www.geocaching.com/geocache/GC1GMB4_marmora-mine-lookout","44:42:51","-77:47:45","Canada","Ontario","Hastings","134","6"
"957",957," GC1B2F4","Mark Twain Cave","https:/www.geocaching.com/geocache/GC1B2F4_mark-twain-cave","39:46:04","-91:34:03","United States","Missouri","Marion County (MO)","469","19"
"759",759,"GC11AZ2","High Ledge Mine","https://www.geocaching.com/geocache/GC11AZ2_high-ledge-mine","41:06:18","-74:52:37","United States","New Jersey","Morris County (NJ)","158","7"
"291",291," GC1B2EF","Cameron Cave","https:/www.geocaching.com/geocache/GC1B2EF_cameron-cave","39:41:53","-91:20:35","United States","Missouri","Marion County (MO)","122","5"
"1353",1353,"GC2R6AR","Skull Cave Arch","https://www.geocaching.com/geocache/GC2R6AR_skull-cave-arch","39:28:19","-83:27:33","United States","Ohio","Ross County (OH)","98","4"
