isolate,pd1,pd11,pd19,pd6,pd3,pd7,pd13,pd21,pd8
ON6,282,386,276,213,353,436,438,283,408
NB19,282,386,276,213,353,436,426,289,408
NB38,282,386,276,213,353,436,426,289,408
NB48,282,386,276,213,353,436,426,289,408
PE8,282,386,276,213,353,436,426,289,408
ON7,276,386,266,213,353,436,431,289,408
ON8,282,386,276,213,440,436,431,289,408
NB42,282,386,276,213,316,436,438,289,408
NB8,282,386,276,213,316,436,438,289,408
US3,276,386,276,207,322,436,438,289,408
NB28,282,386,206,213,322,436,438,289,408
NB35,282,386,276,213,322,436,438,289,408
NB46,282,386,276,213,322,436,438,289,408
NB62,282,386,276,213,322,436,438,289,408
NB68,282,386,276,213,322,436,438,289,408
NB7,282,386,276,213,322,436,438,289,408
ON14,282,386,276,213,322,436,438,289,408
US5,276,286,276,207,347,436,438,289,408
NB18,282,386,276,213,347,436,438,289,408
NB37,282,386,276,213,347,436,438,289,408
NB60,282,386,276,213,347,436,438,289,408
NB33,288,380,281,213,347,436,438,289,408
NB1,282,386,271,201,353,436,438,289,408
NB16,276,386,276,201,353,436,438,289,408
NB14,282,386,276,201,353,436,438,289,408
NB2,282,386,276,201,353,436,438,289,408
NB3,276,386,276,207,353,436,438,289,408
PE3,276,386,276,207,353,436,438,289,408
NB10,282,386,276,207,353,436,438,289,408
NB11,282,386,276,207,353,436,438,289,408
NB13,282,386,276,207,353,436,438,289,408
NB15,282,386,276,207,353,436,438,289,408
NB17,282,386,276,207,353,436,438,289,408
PE2,282,386,276,207,353,436,438,289,408
PE4,282,386,276,207,353,436,438,289,408
PE5,282,390,276,207,353,436,438,289,408
US7,288,392,276,207,353,436,438,289,408
PE6,282,380,271,213,353,436,438,289,408
ON1,276,386,271,213,353,436,438,289,408
US10,276,386,271,213,353,436,438,289,408
NB25,288,380,276,213,353,436,438,289,408
NB41,288,380,276,213,353,436,438,289,408
NB61,288,380,276,213,353,436,438,289,408
NB67,276,386,276,213,353,436,438,289,408
NB12,282,386,276,213,353,436,438,289,408
NB20,282,386,276,213,353,436,438,289,408
NB21,282,386,276,213,353,436,438,289,408
NB22,282,386,276,213,353,436,438,289,408
NB23,282,386,276,213,353,436,438,289,408
NB24,282,386,276,213,353,436,438,289,408
NB27,282,386,276,213,353,436,438,289,408
NB29,282,386,276,213,353,436,438,289,408
NB31,282,386,276,213,353,436,438,289,408
NB32,282,386,276,213,353,436,438,289,408
NB39,282,386,276,213,353,436,438,289,408
NB40,282,386,276,213,353,436,438,289,408
NB43,282,386,276,213,353,436,438,289,408
NB44,282,386,276,213,353,436,438,289,408
NB45,282,386,276,213,353,436,438,289,408
NB49,282,386,276,213,353,436,438,289,408
NB52,282,386,276,213,353,436,438,289,408
NB58,282,386,276,213,353,436,438,289,408
NB6,282,386,276,213,353,436,438,289,408
NB64,282,386,276,213,353,436,438,289,408
NB65,282,386,276,213,353,436,438,289,408
NB66,282,386,276,213,353,436,438,289,408
NB69,282,386,276,213,353,436,438,289,408
NB70,282,386,276,213,353,436,438,289,408
ON10,282,386,276,213,353,436,438,289,408
ON11,282,386,276,213,353,436,438,289,408
QU12,282,386,276,213,353,436,438,289,408
QU13,282,386,276,213,353,436,438,289,408
ON2,282,386,276,213,353,436,438,289,408
ON4,282,386,276,213,353,436,438,289,408
ON5,282,386,276,213,353,436,438,289,408
PE1,282,386,276,213,353,436,438,289,408
US1,282,386,276,213,353,436,438,289,408
US15,282,386,276,213,353,436,438,289,408
US8,282,386,276,213,353,436,438,289,408
NS1,288,386,276,213,353,436,438,289,408
US4,288,386,276,213,353,436,438,289,408
NB36,282,392,276,213,353,436,438,289,408
NB30,288,380,281,213,353,436,438,289,408
NB34,288,380,281,213,353,436,438,289,408
NB47,288,380,281,213,353,436,438,289,408
US13,288,386,281,213,353,436,438,289,408
NB4,294,380,286,213,353,436,438,289,408
ON15,,,,213,353,436,438,289,408
NB71,282,386,276,213,440,436,438,289,408
US6,276,386,271,207,446,436,438,289,408
QU16,282,386,276,219,353,441,438,289,408
ON3,276,386,276,213,353,436,450,289,408
ON9,282,386,276,213,353,436,450,289,408
US12,282,386,276,213,347,436,,289,408
NB63,282,386,276,213,353,436,,289,408
US14,288,386,281,213,353,436,,289,408
US9,288,386,281,213,353,436,,289,408
US11,282,390,276,213,446,436,,289,408
NB54,282,386,276,213,353,436,,,
NB26,282,386,276,201,353,436,,,
NB57,288,380,276,213,353,436,,,
NB59,288,380,276,213,353,436,,,
NB5,282,386,276,213,353,436,,,
NB50,282,386,276,213,353,436,,,
NB53,282,386,276,213,353,436,,,
NB55,282,386,276,213,353,436,,,
NB9,282,386,276,213,353,436,,,
NB56,288,380,281,213,353,436,,,
