GC,title,country,province.state,county,numfinds,numpage,lat,lon
GC1KDBZ,... is mine and I will repay.,United States,Ohio,Hamilton County (OH),25,1,39.4753333333333,-83.5463333333333
GC2YDGW,''Old Nigadoo Mine'',Canada,New Brunswick,Gloucester,4,1,47.9858333333333,-64.1148333333333
GC256FJ,'prophets rock' CAVE EarthCache,United States,Indiana,Tippecanoe County (IN),276,12,40.5713333333333,-85.1258333333333
GC21F6N,"" MINE ABCOURT "",Canada,Quebec,Rouyn-Noranda,53,3,48.28,-78.7098333333333
GC21CK2,"" MINE RICHMOND "",Canada,Quebec,Rouyn-Noranda,40,2,48.3188333333333,-78.5746666666667
GC1PAY2,"Abandoned Silica Mine ",Canada,Nova Scotia,Yarmouth,42,2,44.053,-65.5928333333333
GCHYEN,"DEADMAN'S CAVE",United States,Tennessee,Davidson County (TN),73,3,36.441,-85.1923333333333
GC32GX7,"Mine" your surroundings,Canada,Ontario,Timiskaming,3,1,47.6533333333333,-80.9811666666667
GC1NVXV,"Rock wood" Cave Trolls,United States,Ohio,Cuyahoga County (OH),96,4,41.4116666666667,-80.2288333333333
GC13437,"The Cave" at Old Mill,United States,Pennsylvania,Monroe County (PA),30,2,40.9761666666667,-74.4953333333333
