GC,title,url,lat,lon,country,province.state,county,numfinds,numpage
GC12K71,Woodland TWINS,https://www.geocaching.com/geocache/GC12K71_woodland-twins,43.10081,-80.15201,Canada,Ontario,Brant,44,2
GC12X5W,Yellowstone Cave,https://www.geocaching.com/geocache/GC12X5W_yellowstone-cave,43.4764,-80.00652,Canada,Ontario,Peel,17,1
GC13770,The Cave,https://www.geocaching.com/geocache/GC13770_the-cave,43.55697,-79.55561,Canada,Ontario,Peel,98,4
GC16D9Q,The Cave,https://www.geocaching.com/geocache/GC16D9Q_the-cave,46.23539,-82.3865,Canada,Ontario,Algoma,41,2
GC1F83G,The 'Ol Lead Mine Brook,https://www.geocaching.com/geocache/GC1F83G_the-ol-lead-mine-brook,45.15143,-62.07001,Canada,Nova Scotia,Guysborough,4,1
GC1HJVH,Easy Cave,https://www.geocaching.com/geocache/GC1HJVH_easy-cave,43.25048,-79.52019,Canada,Ontario,Halton,47,2
GC1HWA7,Kemptville Gold Mine,https://www.geocaching.com/geocache/GC1HWA7_kemptville-gold-mine,44.03083,-65.509,Canada,Nova Scotia,Yarmouth,30,2
GC1PAY2,Abandoned Silica Mine ,https://www.geocaching.com/geocache/GC1PAY2_abandoned-silica-mine-,43.51738,-66.09943,Canada,Nova Scotia,Yarmouth,42,2
GC1Q844,Wooden Cave Dweller,https://www.geocaching.com/geocache/GC1Q844_wooden-cave-dweller,43.35811,-79.37737,Canada,Ontario,Peel,42,2
GC1RJGQ,Coal Mine Grave Yard,https://www.geocaching.com/geocache/GC1RJGQ_coal-mine-grave-yard,45.28871,-63.26543,Canada,Nova Scotia,Colchester,46,2
GC1WA9R,Ally's Cave,https://www.geocaching.com/geocache/GC1WA9R_allys-cave,44.28086,-80.26559,Canada,Ontario,Grey,1,1
GC250PG,Strip Mine Road,https://www.geocaching.com/geocache/GC250PG_strip-mine-road,46.10491,-60.02477,Canada,Nova Scotia,Cape Breton,28,2
GC2GEPB,New Lairg Mine Multi,https://www.geocaching.com/geocache/GC2GEPB_new-lairg-mine-multi,45.2768,-62.49078,Canada,Nova Scotia,Pictou,21,1
GC2W0NG,Tennecape Mine,https://www.geocaching.com/geocache/GC2W0NG_tennecape-mine,45.15229,-63.5372,Canada,Nova Scotia,Hants,16,1
GC2WVXE,Slack Brook Mine,https://www.geocaching.com/geocache/GC2WVXE_slack-brook-mine,45.29439,-63.30818,Canada,Nova Scotia,Colchester,17,1
GC2WVYE,Sheet Harbour Mine,https://www.geocaching.com/geocache/GC2WVYE_sheet-harbour-mine,44.54696,-62.3235,Canada,Nova Scotia,Halifax,42,2
GC2Z2NN,Old Mine Air Shaft,https://www.geocaching.com/geocache/GC2Z2NN_old-mine-air-shaft,46.11756,-59.56413,Canada,Nova Scotia,Cape Breton,19,1
GC332RD,Georgeville Mine,https://www.geocaching.com/geocache/GC332RD_georgeville-mine,45.5001,-62.01081,Canada,Nova Scotia,Antigonish,26,2
GC5DRZR,Land Mine Cache,https://www.geocaching.com/geocache/GC5DRZR_land-mine-cache,45.39789,-62.00124,Canada,Nova Scotia,Antigonish,14,1
GC5WKNC,Gold Mine Road,https://www.geocaching.com/geocache/GC5WKNC_gold-mine-road,44.36651,-64.45198,Canada,Nova Scotia,Lunenburg,3,1
GC6ED2,Keyhole Cave,https://www.geocaching.com/geocache/GC6ED2_keyhole-cave,35.44562,-85.24098,United States,Tennessee,Van Buren County (TN),1,1
GC6FXX2,Kailey's Cache #3: Little Light of Mine,https://www.geocaching.com/geocache/GC6FXX2_kaileys-cache-3-little-light-of-mine,45.0763,-64.3071,Canada,Nova Scotia,Kings (Nova Scotia),16,1
GC7EMWN,Lead Mine Road,https://www.geocaching.com/geocache/GC7EMWN_lead-mine-road,45.15209,-62.06656,Canada,Nova Scotia,Guysborough,8,1
GC7Z1MG,Rawdon Gold Mine Falls,https://www.geocaching.com/geocache/GC7Z1MG_rawdon-gold-mine-falls,45.03308,-63.5023,Canada,Nova Scotia,Hants,11,1
GC800H1,Down The Mine,https://www.geocaching.com/geocache/GC800H1_down-the-mine,45.38001,-64.04396,Canada,Nova Scotia,Cumberland,9,1
GC89YWE,Sterling mine,https://www.geocaching.com/geocache/GC89YWE_sterling-mine,45.43706,-60.26234,Canada,Nova Scotia,Richmond,1,1
GCJWAC,BEAR CAVE,https://www.geocaching.com/geocache/GCJWAC_bear-cave,45.49428,-82.08632,Canada,Ontario,Manitoulin,24,1
GCTNHG,EOGF008 - Legend of Myers Cave,https://www.geocaching.com/geocache/GCTNHG_eogf008-legend-of-myers-cave,44.50195,-77.07261,Canada,Ontario,Frontenac,62,3
GCWWYJ,Cave Falls,https://www.geocaching.com/geocache/GCWWYJ_cave-falls,43.35533,-79.32968,Canada,Ontario,Peel,39,2
